,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1805,"(1, 1, 0)","(0, 1, 0)","(2, 0, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1806,"(1, 1, 0)","(0, 1, 0)","(2, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1807,"(1, 1, 0)","(0, 1, 0)","(2, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 1)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1808,"(0, 1, 0)","(0, 1, 0)","(2, 0, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1809,"(0, 1, 0)","(0, 1, 0)","(2, 0, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1810,"(0, 1, 0)","(0, 1, 0)","(2, 0, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 1)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1811,"(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1812,"(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1813,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)"
1814,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1815,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1816,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1817,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(2, 1, 2)"
1818,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(2, 1, 2)"
1819,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
1820,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 2)","(0, 1, 0)"
