,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1266,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)","(2, 1, 2)","(1, 0, 0)","(0, 0, 1)","(1, 0, 0)","(1, 0, 0)"
1267,"(1, 0, 2)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 3)","(2, 0, 0)","(2, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1268,"(2, 0, 1)","(0, 1, 1)","(3, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1269,"(2, 0, 1)","(0, 1, 1)","(1, 0, 2)","(1, 0, 0)","(0, 1, 1)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1270,"(2, 0, 1)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 1)"
1271,"(2, 0, 1)","(1, 0, 0)","(3, 0, 1)","(1, 0, 0)","(1, 1, 2)","(2, 0, 1)","(1, 0, 0)","(1, 0, 0)","(3, 0, 0)","(1, 0, 0)"
1272,"(0, 1, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 2)","(1, 1, 4)","(1, 0, 2)","(0, 1, 2)","(1, 0, 0)"
1273,"(2, 0, 1)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(3, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1274,"(2, 1, 2)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 2)","(1, 1, 2)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 1, 1)"
1275,"(2, 1, 2)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(1, 1, 1)","(1, 0, 0)","(2, 1, 1)"
1276,"(2, 1, 2)","(1, 0, 0)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(2, 1, 1)","(1, 0, 0)"
1277,"(2, 1, 2)","(1, 0, 0)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(0, 1, 1)"
1278,"(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 2)","(6, 0, 2)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 1, 1)"
1279,"(0, 1, 0)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)","(1, 0, 1)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)"
